BUSLINENUM,ORD,NAME,SIGUNNAME,GUNAME,DONGNAME,X,Y,UNIQUEID,BUSSTOPID
1,1,기점,부산광역시,수영구,민락동,129.12711515,35.159514573,,21140601002
1,2,MBC방송국,부산광역시,수영구,민락동,129.12641551,35.159658393,14034,21140601013
1,3,민락동골목시장,부산광역시,수영구,민락동,129.12304535,35.158969479,14037,21140601006
1,4,광안농협앞,부산광역시,수영구,광안2동,129.12002188,35.157650246,14067,21140571002
1,5,광안리해수욕장,부산광역시,수영구,광안2동,129.11661281,35.155443027,14065,21140571001
1,6,광안리입구,부산광역시,수영구,광안2동,129.11424442,35.156936914,14063,21140571008
1,7,광안역,부산광역시,수영구,광안2동,129.11338809,35.158245312,14062,21140571010
1,8,수영역,부산광역시,수영구,광안1동,129.11443618,35.16328184,14054,21140561008
1,9,수영사적공원,부산광역시,수영구,수영동,129.11304584,35.168963956,14049,21140531010
1,10,수영아파트,부산광역시,수영구,수영동,129.1107937,35.17049967,14017,21140531012
1,11,망미역,부산광역시,수영구,망미1동,129.10720726,35.171922029,14007,21140541003
1,12,부산지방병무청,부산광역시,수영구,망미1동,129.10351343,35.172874633,14045,21140541005
1,13,망미중소기업은행,부산광역시,수영구,망미1동,129.10027277,35.173244224,14011,21140541008
1,14,배산역,부산광역시,연제구,연산6동,129.09553304,35.173629436,13093,21130601004
1,15,한독아파트,부산광역시,연제구,연산6동,129.08909183,35.174443735,13100,21130601001
1,16,신리삼거리,부산광역시,연제구,연산7동,129.08761381,35.174656575,13101,21130611006
1,17,연제구청,부산광역시,연제구,연산2동,129.08265803,35.175280167,13107,21130561005
1,18,세정상업고등학교,부산광역시,부산진구,양정2동,129.07649765,35.175082725,5005,21050571003
1,19,양정역,부산광역시,부산진구,양정2동,129.07304454,35.173742698,5011,21050571009
1,20,양정역,부산광역시,,,129.06995916,35.17153877,5703,50000002616
1,21,송상현광장,부산광역시,,,129.065461,35.166393364,5705,50000002618
1,22,부전역,부산광역시,,,129.06320896,35.163043392,5707,50000002620
1,23,부전시장,부산광역시,,,129.06108475,35.160403116,5709,50000002621
1,24,롯데호텔백화점(서면역),부산광역시,부산진구,부전1동,129.05556069,35.157856205,5190,21050511015
1,25,부암역,부산광역시,부산진구,범천4동,129.04898762,35.157336938,5194,21050791010
1,26,부암역,부산광역시,부산진구,범천4동,129.04834539,35.156667412,5195,21050791011
1,27,롯데호텔백화점(서면역),부산광역시,부산진구,부전2동,129.05677779,35.157375147,5321,21050521024
1,28,부전시장,부산광역시,,,129.06075842,35.159647187,5708,50000002622
1,29,송상현광장,부산광역시,,,129.06531203,35.165927302,5706,50000002619
1,30,양정역,부산광역시,,,129.06987644,35.171089605,5704,50000002617
1,31,양정역,부산광역시,부산진구,양정2동,129.0723865,35.173241094,5014,21050571005
1,32,세정상업고등학교,부산광역시,부산진구,양정2동,129.07658697,35.174885134,5009,21050571004
1,33,연제구청,부산광역시,연제구,연산2동,129.08125272,35.175247474,13106,21130561004
1,34,신리삼거리,부산광역시,연제구,연산7동,129.08722325,35.174457081,13104,21130611001
1,35,한독아파트,부산광역시,연제구,연산3동,129.09135931,35.173934552,13098,21130571024
1,36,배산역,부산광역시,연제구,연산3동,129.09524166,35.173413473,13094,21130571003
1,37,망미중소기업은행,부산광역시,수영구,망미1동,129.10004429,35.173014063,14014,21140541004
1,38,부산지방병무청,부산광역시,수영구,망미1동,129.10338618,35.172665338,14052,21140541007
1,39,망미역,부산광역시,수영구,광안3동,129.10711236,35.171681459,14009,21140581001
1,40,수영아파트,부산광역시,수영구,광안3동,129.11110869,35.17001993,14015,21140581004
1,41,수영사적공원,부산광역시,수영구,광안3동,129.11356699,35.168347818,14051,21140581007
1,42,수영교차로(수영역),부산광역시,수영구,광안3동,129.11478736,35.166234265,14089,21140581006
1,43,수영구보건소,부산광역시,수영구,광안1동,129.11403055,35.162761887,14056,21140561009
1,44,광안시장(광안역),부산광역시,수영구,광안4동,129.11347748,35.160129867,14060,21140591001
1,45,광안리입구,부산광역시,수영구,광안2동,129.1145577,35.156534913,14064,21140571015
1,46,광안리해수욕장,부산광역시,수영구,민락동,129.11905564,35.155963042,14068,21140601007
1,47,동방시장,부산광역시,수영구,민락동,129.12178755,35.158650147,14038,21140601027
1,48,민락동골목시장,부산광역시,수영구,민락동,129.1236734,35.158827902,14036,21140601008
1,49,기점,부산광역시,수영구,민락동,129.12697176,35.159487451,,21140601030
10,1,연제공용버스차고지,부산광역시,,,129.05317216,35.185242802,13179,50000001059
10,2,초읍고개,부산광역시,,,129.05408902,35.185475133,13183,50000002492
10,3,개인택시조합,부산광역시,연제구,거제2동,129.05571054,35.186785789,13132,21130521003
10,4,부산의료원,부산광역시,연제구,거제2동,129.06057923,35.188256738,13123,21130521007
10,5,삼정그린아파트,부산광역시,연제구,거제2동,129.06302573,35.189482877,13029,21130521008
10,6,사직실내수영장,부산광역시,,,129.06354326,35.192113571,13170,50000001064
10,7,아시아드주경기장,부산광역시,,,129.06033788,35.191465266,13172,50000001062
10,8,사직119안전센터,부산광역시,,,129.05885016,35.194716722,13174,50000001060
10,9,사직여중,부산광역시,동래구,사직2동,129.05637436,35.19497738,6103,21060591019
10,10,사직여고,부산광역시,동래구,사직2동,129.05362181,35.197242022,6105,21060591001
10,11,사직중학교,부산광역시,동래구,사직2동,129.05431037,35.199429174,6106,21060591005
10,12,사직초등학교,부산광역시,동래구,사직2동,129.0558273,35.200587898,6107,21060591006
10,13,사직2동주민센터,부산광역시,동래구,사직2동,129.05691286,35.200287758,6108,21060591007
10,14,삼익아파트,부산광역시,동래구,사직2동,129.0588327,35.199657056,6111,21060591008
10,15,국민시장,부산광역시,동래구,사직2동,129.0599718,35.198884889,6112,21060591009
10,16,사직야구장,부산광역시,동래구,사직2동,129.06074458,35.196239309,6125,21060591017
10,17,사직운동장,부산광역시,동래구,사직1동,129.0651848,35.196400748,6129,21060581001
10,18,여명중학교,부산광역시,동래구,사직3동,129.06999297,35.195897301,6133,21060601004
10,19,대선주조,부산광역시,연제구,거제1동,129.07265924,35.196449255,13001,21130511001
10,20,화신아파트,부산광역시,연제구,거제1동,129.07505353,35.198214558,13002,21130511002
10,21,교대역,부산광역시,,,129.07963346,35.196625614,13701,50000002604
10,22,동해선 교대역,부산광역시,,,129.07954494,35.194230067,13713,50000002605
10,23,거제1치안센터,부산광역시,연제구,거제1동,129.07755065,35.191281127,13011,21130511016
10,24,법원검찰청(거제역),부산광역시,연제구,거제1동,129.07502745,35.189662304,13137,21130511003
10,25,경남아파트,부산광역시,연제구,거제3동,129.07162343,35.18637276,13026,21130531003
10,26,동해선 거제해맞이역,부산광역시,연제구,거제3동,129.06940504,35.181774913,13031,21130531009
10,27,유림아시아드아파트(거제초교),부산광역시,부산진구,양정1동,129.06740573,35.176522498,13035,21050561013
10,28,하마정,부산광역시,부산진구,양정1동,129.06728911,35.174472576,5027,21050561001
10,29,양정대원칸타빌,부산광역시,부산진구,양정1동,129.06717516,35.171446059,5026,21050561009
10,30,송상현광장,부산광역시,,,129.065461,35.166393364,5705,50000002618
10,31,부전역,부산광역시,,,129.06320896,35.163043392,5707,50000002620
10,32,부전시장,부산광역시,,,129.06108475,35.160403116,5709,50000002621
10,33,서면역 서면지하상가,부산광역시,,,129.05901913,35.15594596,5711,50000002623
10,34,서면한전,부산광역시,,,129.05903807,35.153215115,5713,50000002626
10,35,범내골,부산광역시,부산진구,범천1동,129.05901888,35.149034505,5229,21050771015
10,36,중앙시장,부산광역시,부산진구,범천1동,129.05910343,35.144074647,5215,21050771001
10,37,범일동국민은행,부산광역시,동구,범일2동,129.06087836,35.13892595,3146,21030661002
10,38,문현교차로,부산광역시,남구,문현3동,129.07145781,35.137088489,7048,21070681004
10,39,문현3동주민센터,부산광역시,남구,문현3동,129.0712406,35.138853058,7039,21070681010
10,40,문현삼거리,부산광역시,남구,문현3동,129.07305116,35.141673658,7038,21070681005
10,41,현대주유소,부산광역시,남구,문현3동,129.07601158,35.143311906,7030,21070681007
10,42,대연SK뷰아파트,부산광역시,남구,대연6동,129.07872788,35.141372903,7028,21070561001
10,43,연포초등학교,부산광역시,남구,대연6동,129.08310776,35.138156812,7026,21070561006
10,44,부산세무고,부산광역시,남구,대연6동,129.08669893,35.137998948,7024,21070561007
10,45,대연교회,부산광역시,남구,대연5동,129.09076823,35.138047198,7022,21070551002
10,46,대연초등학교,부산광역시,남구,대연5동,129.0914643,35.136521769,7021,21070551007
10,47,대연동제일은행,부산광역시,남구,대연1동,129.09486845,35.135325452,7015,21070511003
10,48,경성대학교입구,부산광역시,남구,대연3동,129.10036905,35.136376811,7010,21070531028
10,49,부경대대연캠퍼스,부산광역시,남구,대연3동,129.10105863,35.132345149,7012,21070531016
